127.0.0.1 - - [22/Jul/2022:10:10:37 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:10:39 +0530] "GET /ORS_Project4/servlet/com.rays.pro4.controller.MarksheetListCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:10:40 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:10:56 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:10:56 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:10:56 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:11:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:11:21 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:11:55 +0530] "GET /ORS_Project4/marksheetlistview HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:11:59 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:04 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:07 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:10 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:10 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:10 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:36 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5951
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:38 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5951
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:40 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:40 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:12:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:13:05 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2022:10:13:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3314
