127.0.0.1 - - [05/Jul/2022:11:31:57 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:00 +0530] "GET /ORS_Project4/servlet/com.rays.pro4.controller.MarksheetCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:00 +0530] "GET /ORS_Project4/img/error_404.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:00 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:04 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:04 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:07 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:19 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:23 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10338
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:23 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:23 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 200 95932
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:23 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:32:37 +0530] "GET /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 7940
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:33:36 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10338
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:33:38 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10338
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:33:43 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7950
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:33:53 +0530] "GET /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 7940
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:20 +0530] "GET /ORS_Project4/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:21 +0530] "GET /ORS_Project4/doc/overview-frame.html HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:21 +0530] "GET /ORS_Project4/doc/allclasses-frame.html HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:21 +0530] "GET /ORS_Project4/doc/overview-summary.html HTTP/1.1" 200 4922
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:21 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:21 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:21 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:21 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:21 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:26 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/BaseCtl.html HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:26 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:26 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:26 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:35 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/MarksheetCtl.html HTTP/1.1" 200 22947
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:35 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:35 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:11:58:35 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
