127.0.0.1 - - [29/Jul/2022:01:02:19 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:02:25 +0530] "GET /ORS_Project4/jsp/MarksheetListView.jsp HTTP/1.1" 500 2363
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:02:39 +0530] "GET /ORS_Project4/jsp/MarksheetListView.jsp HTTP/1.1" 500 2363
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:02:57 +0530] "GET /ORS_Project4/index.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:02:57 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:03:02 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:03:40 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:03:57 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:04:12 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:04:12 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:04:19 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:04:19 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:27:36 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:27:36 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:27:39 +0530] "POST /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6268
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:27:39 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:32:46 +0530] "POST /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6268
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:32:46 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:34:16 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [29/Jul/2022:01:34:16 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
