127.0.0.1 - - [21/Jul/2022:11:55:03 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [21/Jul/2022:11:55:06 +0530] "GET /ORS_Project4/servlet/com.rays.pro4.controller.MarksheetListCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [21/Jul/2022:11:55:06 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [21/Jul/2022:11:55:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [21/Jul/2022:11:55:11 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [21/Jul/2022:11:55:14 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Jul/2022:11:55:26 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jul/2022:11:55:26 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [21/Jul/2022:11:55:32 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [21/Jul/2022:11:55:32 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:07:41 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7950
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:17:51 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6241
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:17:51 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:17:56 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 5241
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:17:59 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:01 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7688
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:03 +0530] "GET /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 7940
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:10 +0530] "GET /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 7940
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:14 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:17 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:51 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9712
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:54 +0530] "GET /ORS_Project4/ctl/CollegeCtl HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:56 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 11925
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:18:58 +0530] "GET /ORS_Project4/ctl/RoleCtl HTTP/1.1" 200 5162
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:19:00 +0530] "GET /ORS_Project4/ctl/RoleListCtl HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:19:04 +0530] "GET /ORS_Project4/ctl/StudentCtl HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:19:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:20:07 +0530] "GET /ORS_Project4/ctl/StudentCtl HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [21/Jul/2022:12:20:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
