127.0.0.1 - - [18/Jul/2022:22:46:17 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:18 +0530] "GET /ORS_Project4/servlet/com.rays.pro4.controller.UserRegistrationCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:18 +0530] "GET /ORS_Project4/img/error_404.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:18 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:22 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:25 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:30 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Jul/2022:22:46:30 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:28:06 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5952
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:28:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:28:19 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 6024
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:28:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
