127.0.0.1 - - [17/Jul/2022:15:30:22 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:26 +0530] "GET /ORS_Project4/servlet/com.rays.pro4.controller.UserRegistrationCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:26 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:29 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:29 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:29 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:32 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:34 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:34 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:35 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:39 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5952
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:30:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:32:33 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5952
0:0:0:0:0:0:0:1 - - [17/Jul/2022:15:32:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
