127.0.0.1 - - [26/Jul/2022:14:04:20 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:22 +0530] "GET /ORS_Project4/servlet/com.rays.pro4.controller.MarksheetListCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:22 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:25 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:25 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:32 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:46 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:46 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:51 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10394
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:51 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:04:51 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:24:22 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=4 HTTP/1.1" 200 7996
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:31:21 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=12 HTTP/1.1" 200 7998
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:33:55 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7989
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:48:52 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=100 HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:50:03 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7989
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:52:12 +0530] "POST /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 8027
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:52:24 +0530] "POST /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 8014
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:56:17 +0530] "POST /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:56:17 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10393
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:56:46 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=3 HTTP/1.1" 200 7997
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:58:34 +0530] "POST /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:58:34 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10393
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:58:36 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7993
0:0:0:0:0:0:0:1 - - [26/Jul/2022:14:58:51 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10408
